AAL;41.53;42.1;41.28;41.81;3691498;153957164
AAME;4;4;3.95;3.9752;2905;11511
AAON;34.3;34.6;34.15;34.3;103252;3542681
AAPL;143.73;144.18;143.27;143.34;14704159;2113285608
AAXJ;63.13;63.265;63.01;63.14;1059223;66866060
AAXN;23.25;23.61;22.67;23.27;1756771;40839817
ABAX;47.02;47.5;46.75;47.43;59975;2840033
ABCB;44.35;44.9;44.1;44.35;126315;5615011
ABCO;46.95;47.4;46.8;47.25;214411;10109301
ABEO;5.1;5.15;4.9;5.05;368508;1849171
ABGOF;0.04;0.04;0.04;0.04;1000;40
ABIO;2.4;2.45;2.35;2.35;37041;87998
ABMD;124.97;126.06;124.69;125.49;120966;15182533
ABNK;10.5;10.5;10.3;10.3;9500;97950
ABTL;12.56;12.8;11.94;12.13;79709;971371
ABUS;3.3;3.35;3.2;3.25;123351;401614
ABVG;0.0004;0.0004;0.0002;0.0004;9332600;3086
ACAD;32.4;32.45;31.7495;32.36;838975;27008600
ACET;15.05;15.26;14.795;15.23;188445;2840722
ACFN;0.35;0.37;0.34;0.364;73415;25893
ACGL;93.98;94.1;93.64;93.77;256891;24115141
ACGX;0.0018;0.0024;0.0015;0.0022;66226104;131721
ACHN;3.82;3.82;3.71;3.72;1310416;4913529
ACIA;57.17;57.7799;55.75;56;753536;42806949
ACLS;17.9;18.15;17.65;17.95;237861;4261826
ACOR;16.95;17.15;16.55;16.6;970023;16242569
ACRX;2.85;2.85;2.75;2.75;271456;755736
ACTA;13.95;14.1;13.95;14.1;78582;1103216
ACTG;5.4;5.6;5.4;5.55;169216;931673
ACTL;0.0001;0.0001;0.0001;0.0001;4500000;450
ACUR;0.53;0.6023;0.53;0.6;9500;5217
ACWI;63.07;63.27;63.0175;63.1;928196;58623486
ACXM;28.12;28.27;27.78;27.81;238631;6658175
ADAP;5.47;5.88;5.43;5.7;221138;1252382
ADAT;2.272;2.28;2.265;2.28;1300;2961
ADBE;130.15;130.67;129.52;130.22;1726111;224457620
ADDYY;93.985;94.73;93.985;94.388;16377;1547330
ADHD;1.19;1.23;1.1;1.12;620837;727378
ADI;80.3;80.59;79.65;80.01;2570806;205964638
ADP;101.87;102.4167;101.46;102.19;1094092;111689260
ADRA;29.1;29.225;29.1;29.225;1500;43710
ADRD;20.73;20.87;20.73;20.87;2564;53412
ADRE;36.56;36.7613;36.56;36.61;4290;157389
ADRNY;20.59;20.63;20.51;20.52;29080;597355
ADRU;20.43;20.43;20.41;20.43;1077;21999
ADSK;84.07;84.95;83.55;84.79;1558006;131373577
ADTM;0.0002;0.0002;0.00019;0.0002;17574025;3515
ADTN;19.9;20.15;19.85;20.05;204583;4090511
ADVM;2.55;2.6;2.5;2.55;245419;626062
ADXS;7.76;7.88;7.61;7.84;391098;3033667
AEGN;22.87;23.27;22.75;23.08;197799;4563999
AEGY;0.0001;0.0001;0.0001;0.0001;770000;77
AEHR;4.34;4.38;4.01;4.28;167668;716224
AEIS;66.26;66.96;66.2301;66.71;205788;13711324
AERI;43.55;44.85;43.4;44.35;350636;15469031
AEZS;2.95;2.95;2.9;2.95;114394;334885
AFAM;47.7;47.9;47.25;47.3;40236;1912601
AFFY;0.051;0.053;0.051;0.0526;6070;313
AFLYY;7.41;7.41;7.29;7.29;6097;44554
AFSI;19.24;19.24;18.8099;18.88;2809106;53255602
AGEN;3.33;3.39;3.22;3.38;976524;3221489
AGII;66.05;66.1;65.45;65.5;45514;2986049
AGNC;20.19;20.21;20.02;20.05;2542611;51134721
AGTK;0.0228;0.023;0.0201;0.0205;3082382;67089
AHPI;2.05;2.05;1.99;2.0365;7500;15359
AIA;52.68;52.75;52.5997;52.5997;12903;679537
AINV;6.63;6.65;6.555;6.6003;1041106;6879743
AIRM;42.95;43.35;42.925;43;2942325;126570166
AKAM;58.65;58.74;57.995;58.1;1726574;100426016
AKAO;23.35;23.66;22.09;22.48;642608;14556127
AKRX;25.45;30.64;25.41;29.77;22978544;665795061
AKZOY;28.02;28.24;28.01;28.14;17197;483502
ALCO;26.95;27.15;26.8;26.8;1585;42780
ALGN;114.76;115.74;114.66;114.74;430236;49482497
ALGT;156.7;158.4;155.15;155.35;68869;10744905
ALKS;57.52;58.73;57.04;58.69;448458;26121058
ALLT;4.76;4.76;4.6898;4.74;4800;22653
ALNY;47.65;48.61;47.16;48.51;410544;19719813
ALOG;72.9;73.4;72.6;73.15;40489;2957381
ALOT;14.5;14.75;14.5;14.75;9395;137316
ALQA;0.467;0.472;0.44;0.46;586692;268058
ALRM;30.28;30.82;30.165;30.6;124075;3790390
ALSK;1.93;1.93;1.83;1.85;91217;170855
ALVRQ;0.0027;0.0027;0.0027;0.0027;140;0
ALXN;115.78;116.26;113.42;115.62;2187914;251270317
AMAG;22.05;22.7;21.9;22.6;648344;14504516
AMAT;38.45;39.03;38.45;38.93;5786877;224760365
AMAVF;36.82;36.82;36.82;36.82;100;3682
AMBA;54.99;55.68;54.42;54.53;385326;21175923
AMBS;0.0459;0.0492;0.0415;0.0491;430029;18989
AMCN;3.11;3.15;2.98;3.03;556796;1713407
AMD;13.33;13.68;13.22;13.52;67137762;899098537
AMDA;0.395;0.404;0.3851;0.404;480743;189341
AMED;51.28;51.78;50.8;51.23;136813;7028469
AMGN;162.91;164.24;162.25;163.38;1776028;290219109
AMKR;11.44;11.64;11.4;11.51;949307;10946605
AMLM;0.0358;0.039;0.0321;0.0321;110200;4262
AMNB;36.825;37.15;36.5;36.8;10141;371811
AMNP;0.006;0.0069;0.006;0.0069;10614;73
AMOT;21.46;21.98;21.3;21.92;20272;440643
AMPH;14.33;14.67;14.135;14.615;332799;4800113
