A;53.07;53.07;52.7;52.84;1058209;55934346
AA;33.25;34.13;33.151;33.73;2861422;96356370
AAC;8.43;8.43;8.21;8.3;49353;409015
AAP;142.51;143.54;141.93;142.05;781570;111470294
AB;22.85;22.945;22.625;22.65;462032;10548401
ABB;23.24;23.425;23.22;23.29;961921;22433933
ABBV;65.06;65.93;64.83;65.54;4942804;323848035
ABC;87.57;88.07;87.29;87.62;697964;61174697
ABM;41.87;42.085;41.67;41.9;266660;11164750
ABT;43.62;43.95;43.57;43.83;4979912;218111500
ABX;19.68;19.71;18.9351;19.14;12255365;237287809
AC;34.65;34.65;34.15;34.4;34125;1176304
ACH;12.98;13.02;12.94;12.95;14137;183535
ACM;33.68;33.98;32.68;33.02;3385891;112369049
ACN;117;117.74;116.5;117.44;1996484;234301000
ACP;14;14.15;14;14.13;57296;804857
ACV;20.63;20.76;20.4705;20.66;49778;1029588
ADC;48.6;48.82;48.35;48.63;68049;3309306
ADM;45.29;45.39;44.88;44.89;1140889;51423969
ADNT;66.71;67.2;66.1;66.85;562885;37557150
ADS;252.2;254.2;250.86;251.04;429524;108390695
ADX;13.74;13.78;13.71;13.77;121645;1672687
AEE;54.83;54.96;54.47;54.54;1389125;75960560
AEG;4.92;4.93;4.84;4.89;2639872;12902736
AEM;45.68;45.9;44.07;44.59;1511512;67998050
AEO;13.31;13.6;13.22;13.58;4655787;62800868
AEP;67.8;67.99;67.295;67.32;2619871;176741761
AER;43.95;44.15;43.28;43.38;1704472;74176590
AES;11.18;11.21;11.03;11.04;4973319;55185734
AET;128.4;129.21;127.92;128.36;1241874;159705802
AEUA;43.96;44.9505;43.95;44.125;8039;354501
AFB;13.38;13.4677;13.38;13.45;46387;621836
AFC;25.75;25.8184;25.7;25.79;3585;92352
AFG;94.29;94.64;93.84;94.27;195859;18463115
AFL;72.67;73.18;72.645;72.9;2672871;195038409
AG;8.9;9.07;8.64;8.75;4530999;40166350
AGC;6.1;6.11;6.07;6.1;164768;1004262
AGCO;61.14;61.81;60.92;60.95;306092;18752325
AGI;8.14;8.2798;7.92;8.02;2033893;16482093
AGM;55.01;55.72;54.71;54.92;17430;961685
AGN;237.62;239.73;236.43;238.85;1814142;432321989
AGO;38.05;38.8;38.05;38.7;2213022;85191647
AGR;43.19;43.46;43.09;43.15;374526;16191365
AGRO;11.14;11.65;11.14;11.37;1694894;19331567
AGU;93.47;94.2;93.34;93.77;236108;22156651
AGX;64.05;65.4;63.3;63.95;144639;9273635
AHC;5.9;6.05;5.8;6.05;52792;310836
AHP;10.75;10.86;10.7101;10.81;250415;2701134
AHT;6.36;6.41;6.15;6.17;753224;4686089
AI;14.06;14.148;14.02;14.02;152031;2140401
AIG;61.52;61.82;61.29;61.34;4277866;263033144
AIN;45.3;45.85;45.3;45.55;92481;4214163
AIR;33.44;33.735;32.84;33.61;151403;5084201
AIT;60.65;61.05;60.35;60.65;84674;5138173
AIV;44.92;45.09;44.75;44.92;559426;25135822
AJG;56.27;56.57;56.08;56.33;718599;40516223
AJRD;21.7;21.78;21.46;21.5;450190;9701315
AKOA;22.99;23;22.99;23;799;18373
AKOB;24.39;25.12;24.38;24.9608;12221;302759
AKP;13.33;13.39;13.33;13.38;27612;369102
AKR;29.88;30.16;29.78;29.94;654943;19633040
AKS;6.99;7.69;6.98;7.65;36124856;269360785
AL;37.03;37.15;36.3;36.68;921571;33738798
ALB;106.02;106.3;105.51;105.94;899926;95376314
ALDW;8.76;8.92;8.7241;8.82;38831;343427
ALE;68.44;68.98;68.36;68.7;207548;14253713
ALEX;44.26;44.94;44.085;44.64;57211;2555243
ALG;74.24;74.38;73.485;74.16;26030;1929861
ALK;88.99;89.82;88.41;89.17;978711;87221751
ALL;81.36;81.49;80.95;81.11;1008503;81869327
ALLE;74.61;75.14;74.58;74.69;314096;23479413
ALR;42.79;43.16;42.68;43.05;453885;19504504
ALV;96.8;97.34;96.3;96.4;343129;33165670
ALX;427.77;434.99;427.77;432.25;2436;1050821
AM;33.81;33.945;33.2;33.29;245378;8224720
AME;54.12;54.28;53.92;54.15;1164391;63055439
AMG;159.47;161.91;159.47;160.81;227763;36623074
AMH;23.67;23.8;23.58;23.75;1420869;33677307
AMN;39.55;39.675;39.3;39.65;830938;32867919
AMP;128.53;130.44;128.07;129.3;605998;78310322
AMRC;6.25;6.35;6.175;6.2;53169;333571
AMT;121.97;122.69;121.69;122.12;1592114;194427991
AMX;14.23;14.48;14.22;14.4;2577711;37022997
AN;40.14;40.3734;39.96;40.14;765329;30725889
ANF;10.61;10.72;10.5;10.61;2146696;22797627
ANH;5.56;5.56;5.5;5.53;524049;2898233
ANW;12.15;12.55;12.1;12.4;335741;4150595
AOD;8.19;8.28;8.181;8.28;294390;2424500
AON;119.04;120.27;118.95;119.64;1017005;121856380
AOS;49.74;49.98;49.48;49.87;699409;34815151
AP;13.75;14.85;13.65;14.5;93599;1354314
APA;52.53;53.11;52.2;52.64;3903751;205988959
APB;11.99;12.2;11.99;12.19;18341;223224
APC;63.07;63.08;62.2832;62.43;1787151;111859656
APD;134.78;135.55;134.33;135.01;2509692;338304559
APF;15.4783;15.61;15.46;15.58;3100;48061
APH;69.87;70.14;69.7;69.78;613620;42896819
APU;47;47.24;46.84;46.94;70679;3323339
ARA;17.68;17.695;16.78;17.33;72296;1242988
ARCH;75.27;76.88;74.525;74.75;599883;45434632
ARCO;7.8;7.8;7.7;7.75;587900;4552241
ARD;21.08;21.94;21;21.86;34254;738247
ARE;112.33;112.7;111.63;111.67;779602;87233105
ARI;18.77;18.89;18.71;18.76;642073;12083893
ARNC;26;26.495;26;26.41;1650537;43490259
ARR;23.1;23.23;23.01;23.05;311877;7210334
ARW;70.77;71.2;70;70.76;280788;19891873
ASA;12.57;12.63;12.29;12.36;65587;817498
ASC;7.85;8.35;7.8;8.35;174529;1416656
ASG;4.54;4.55;4.5322;4.55;23335;105952
ASGN;46.19;46.37;45.75;46.24;203001;9370459
ASH;124.5;125.68;124.37;125.08;186331;23323223
ASR;182.48;183.78;179.78;180.17;55378;10042560
ASX;6.41;6.44;6.38;6.42;1319350;8461953
AT;2.65;2.7;2.6;2.65;200689;535257
ATEN;8.84;8.91;8.8;8.91;198015;1758868
ATH;51.64;52;51.33;52;965273;50010248
ATHM;30.55;30.55;29.2;29.55;1259471;37309173
ATI;17.58;18.29;17.52;18.21;1815011;32830612
ATO;80.34;80.68;80.07;80.12;106582;8550107
ATR;76.49;76.79;76.02;76.16;173336;13217584
ATU;25.65;25.875;25.45;25.5;338097;8653855
ATV;9.06;9.68;9.0599;9.68;4529;41742
ATW;9.43;9.46;9.08;9.09;2479342;22731864
AU;12.33;12.36;11.82;11.94;4026819;48929291
AUO;3.9;3.92;3.86;3.89;3122709;12140125
AUY;2.9;2.95;2.81;2.84;8773678;25302019
AVA;39.52;39.66;39.355;39.41;266965;10539412
AVB;185.83;186.67;184.64;184.77;672370;124706454
AVD;16.75;17.6499;16.7;17.5;141806;2460151
AVP;4.32;4.4;4.25;4.31;11055147;47476205
AVT;44.57;44.895;44.52;44.6;722474;32280526
AVX;16;16.1;15.85;16.04;140128;2241503
AVY;79.84;80.2;79.26;79.54;449827;35768114
AWF;12.55;12.59;12.5229;12.57;157537;1979652
