ID,SYMBOL,NAME,LAST_TRADE_QUANTITY,TRADE_DATE,PRICE,SHAREVOLUME,TRADEVOLUME,TURNOVER,HI_TRADE,LO_TRADE,CHANGE,CHANGE_PERCENTAGE,ISSUE_DATE,CLOSING_PRICE,PREVIOUS_CLOSE,MARKET_CAP,OPEN
2025,AAF.N0000,ASIA ASSET FINANCE PLC,500,2016-10-13,1.5,4668,5,7118.8,1.6,1.5,-0.1,-6.25,12/JAN/2012,1.5,1.6,1258811749.5,1.5
118,AAIC.N0000,ASIAN ALLIANCE INSURANCE PLC,500,2016-10-13,22,27825,13,614241.5,23.7,22.0,-0.1,-0.452488687782805429864,24/NOV/2000,22.0,22.1,8250000000,22.1
204,ABAN.N0000,ABANS ELECTRICALS PLC,500,2016-10-13,117.5,7300,21,857452.0,118.0,117.0,-2.5,-2.083333333333333333333,01/JAN/1984,117.5,120.0,600490800,118.0
3046,ABL.N0000,AMANA BANK PLC,30000,2016-10-13,3.9,184400,20,719240.0,4.0,3.9,-0.1,-2.5,29/JAN/2014,3.9,4.0,4877711541.3,4.0
160,ACAP.N0000,ASIA CAPITAL PLC,85,2016-10-13,9.7,3805,9,37226.5,10.0,9.7,0,0,22/SEP/1994,9.7,9.7,1273900951.5,10.0
472,ACL.N0000,ACL CABLES PLC,115,2016-10-13,62.7,16950,17,1066887.5,63.4,62.6,-0.2,-0.317965023847376788553,01/JAN/1976,62.7,62.9,7510667472,63.4
554,ACME.N0000,ACME PRINTING & PACKAGING PLC,57356,2016-10-13,7.3,57357,2,418706.1,7.3,7.3,0.1,1.3888888888888888888888,01/JAN/1956,7.3,7.2,300481964.9,7.3
2065,AEL.N0000,ACCESS ENGINEERING PLC,6150,2016-10-13,26.5,556651,175,1.47667141E7,26.7,26.4,-0.2,-0.749063670411985018726,27/MAR/2012,26.5,26.7,26500000000,26.7
2026,AGST.N0000,AGSTAR PLC,100,2016-10-13,5.5,1111,4,6010.6,5.6,5.4,-0.1,-1.785714285714285714285,16/FEB/2012,5.5,5.6,1691394705,5.4
144,AHUN.N0000,AITKEN SPENCE HOTEL HOLDINGS PLC,100,2016-10-13,48.8,607,3,29626.5,49.5,48.8,-0.1,-0.204498977505112474437,01/JAN/1980,48.8,48.9,16410952488,49.5
